# Format: [Timestamp] [Source IP] [Type] [Domain] [Status]
[2026-02-25 11:12:05] 192.168.1.45 IN A 48.A0B9C8DD.data.packet-leak.xyz NOERROR
[2026-02-25 11:13:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:14:30] 192.168.1.45 IN A 49.D3E2F1EE.data.packet-leak.xyz NOERROR
[2026-02-25 11:15:15] 192.168.1.45 IN A 50.F2B1A0FF.data.packet-leak.xyz NOERROR
[2026-02-25 11:16:00] 192.168.1.102 IN A youtube.com NOERROR
[2026-02-25 11:17:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:18:20] 192.168.1.45 IN A 51.C5D4E300.data.packet-leak.xyz NOERROR
[2026-02-25 11:19:15] 192.168.1.45 IN A 52.B9A8C711.data.packet-leak.xyz NOERROR
[2026-02-25 11:20:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:21:10] 192.168.1.200 IN A 1q2w3e4r5t6y.top NOERROR
[2026-02-25 11:22:30] 192.168.1.45 IN A 53.A2B3C422.data.packet-leak.xyz NOERROR
[2026-02-25 11:23:15] 192.168.1.45 IN A 54.D9E8F733.data.packet-leak.xyz NOERROR
[2026-02-25 11:24:00] 192.168.1.15 IN A microsoft.com NOERROR
[2026-02-25 11:25:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
